d_date k1 k2 delta_z delta_max_at delta_min_at delta_dewp
2003-09-03 0.800909 0.843528 0.837590398726863 0.0999985 3.8 -5.9
2003-09-05 1 1 0.837590398726863 0.1 2.9 -0.3
2003-09-08 1 0.990991 0.837590398726863 -4.5 0.1 -3.1
2003-09-09 0.439693 0.723302 0.837590398726863 -7.9 -2.2 -4.1
2003-09-10 0.998501 1 0.837590398726863 -4 -3.2 -4.7
2003-09-11 0.996942 1 0.837590398726863 -3.1 1.9 -5.3
2003-09-12 0.958255 0.981503 0.837590398726863 -2.2 3.4 -5.3
2003-09-13 0.967855 0.98031 0.837590398726863 -1.6 6 -5.7
2003-09-14 0.966915 0.973355 0.837590398726863 -3.3 7.3 -6.5
2003-09-16 0.983964 0.959019 0.837590398726863 -4.1 0.400001 -11
2003-09-18 0.994869 0.942419 0.837590398726863 -3.2 5.6 -6.1
2003-09-19 0.964532 0.980608 0.837590398726863 -2.6 6.4 -7
2003-09-22 0.930682 0.933924 0.837590398726863 -3.2 6.5 -10.5
2003-09-26 0.96367 0.980576 0.837590398726863 0.700001 4.3 -4.2
2004-09-01 0.980235 0.975806 0.837590398726863 -1.1 2.5 -8.2
2004-09-02 0.985404 0.978352 0.837590398726863 -3 2.1 -7.2
2004-09-03 0.968679 0.976903 0.837590398726863 -1.2 1.4 -9.2
2004-09-04 0.991985 0.977088 0.837590398726863 -3.3 0.9 -7.8
2004-09-05 0.978037 0.968198 0.837590398726863 -5.8 3.8 -8.3
2004-09-06 0.961981 0.96098 0.837590398726863 -4.4 4.1 -9.1
2004-09-07 0.964257 0.957499 0.837590398726863 -5.4 4.6 -10.3
2004-09-08 0.965848 0.959176 0.837590398726863 -4.4 4.3 -11.5
2004-09-09 0.978716 0.968604 0.837590398726863 -2.5 5.2 -11.9
2004-09-10 0.989409 0.969529 0.837590398726863 -2.2 3.9 -14
2004-09-11 0.974951 0.97954 0.837590398726863 -2.1 7.6 -13.9
2004-09-12 0.974244 0.970167 0.837590398726863 -3.4 -0.6 -7.5
2004-09-13 0.979212 0.977874 0.837590398726863 -4.8 2.1 -6.8
2004-09-14 0.982513 0.973752 0.837590398726863 -3.2 1.4 -5.5
2004-09-15 0.983226 0.978507 0.837590398726863 -4.5 3.8 -6.8
2004-09-16 0.973217 0.983749 0.837590398726863 -4.7 3.5 -5.9
2004-09-17 0.989137 0.964373 0.837590398726863 -3.6 1.8 -5.3
2004-09-18 0.574929 0.726598 0.837590398726863 -8 -2.8 -1.6
2004-09-20 0.958752 0.975039 0.837590398726863 -3.6 -0.5 -3.3
2004-09-21 0.983822 0.964899 0.837590398726863 -6.3 0.6 -4.7
2004-09-22 0.990264 0.972702 0.837590398726863 -3.8 2.7 -5.4
2004-09-23 0.981771 0.959938 0.837590398726863 -5.6 4.5 -6.2
2004-09-24 0.980675 0.967653 0.837590398726863 -4.1 5.5 -7
2004-09-25 0.97609 0.965847 0.837590398726863 -3.3 6.5 -7.5
2004-09-26 0.987936 0.954598 0.837590398726863 -4.6 6.7 -7.7
2004-09-27 0.97684 0.958272 0.837590398726863 -1.8 6.7 -9.2
2004-09-28 0.968674 0.953714 0.837590398726863 -2.6 -2.4 -3.6
2004-09-29 0.964423 0.946981 0.837590398726863 -2.2 0.599999 -3.7
2004-09-30 0.959008 0.969352 0.837590398726863 -3 0.5 -2.9
2005-09-01 0.966085 0.964366 0.837590398726863 -1.3 3.7 -9.7
2005-09-02 0.960478 0.97235 0.837590398726863 -0.1 3.9 -11.2
2005-09-03 0.968986 0.969738 0.837590398726863 -0.800001 3 -11.5
2005-09-04 0.976178 0.975255 0.837590398726863 -0.699999 1.8 -9.4
2005-09-05 0.961846 0.967256 0.837590398726863 -3.6 3 -9.6
2005-09-06 0.971354 0.973343 0.837590398726863 -1.4 1.2 -8.1
2005-09-07 0.964316 0.978008 0.837590398726863 -1.2 3.3 -7.9
2005-09-08 0.964551 0.972322 0.837590398726863 -0.4 0.2 -6.5
2005-09-09 0.965563 0.960777 0.837590398726863 -1 -3.7 -4.1
