d_date k1 k2 delta_z delta_max_at delta_min_at delta_dewp
2003-03-01 0.981459 0.986486 0.837590398726863 -4.6 1.5 -4.2
2003-03-02 0.989385 0.980617 0.837590398726863 -3.6 1.4 -5.3
2003-03-03 0.499246 0.708194 0.837590398726863 -7.3 -2.2 -3.3
2003-03-04 0.653016 0.978765 0.837590398726863 -5.7 -0.2 -2.5
2003-03-05 0.996275 0.971533 0.837590398726863 -4.1 1.4 -3.7
2003-03-06 0.991894 0.959538 0.837590398726863 -3.6 -1.2 -3.9
2003-03-10 0.779136 0.862574 0.837590398726863 -2.9 0 -7.3
2003-03-11 0.921423 0.931114 0.837590398726863 -4.4 0.4 -4.2
2003-03-12 0.95642 0.723308 0.837590398726863 -2.5 -1.2 -3.8
2003-03-13 0.650462 0.572919 0.837590398726863 -2.2 -0.9 -1.4
2003-03-14 0.659921 0.557498 0.837590398726863 -3.2 -4.1 -5.1
2003-03-15 0.740036 0.822125 0.837590398726863 -6 -3.9 -3.9
2003-03-16 0.68399 0.687535 0.837590398726863 -3.6 -2.6 -5.7
2003-03-17 0.659212 0.982822 0.837590398726863 -6.4 0.4 -1.6
2003-03-18 0.986405 0.987008 0.837590398726863 -3.7 -2.3 -3.2
2003-03-19 0.862801 0.846495 0.837590398726863 -2.8 2.6 -6.1
2003-03-20 0.955553 0.967061 0.837590398726863 -4.3 -1 -2.8
2003-03-21 0.983228 0.982248 0.837590398726863 -4.9 0.2 -4
2003-03-22 0.8684 0.696416 0.837590398726863 0.9 -3.5 -2.2
2003-03-23 0.346569 0.659254 0.837590398726863 -7.5 -1.9 -3.3
2003-03-24 0.97953 0.977774 0.837590398726863 -5.2 0.8 -2
2003-03-25 0.915718 0.85197 0.837590398726863 -2.9 1.5 -5.4
2003-03-26 0.521871 0.87989 0.837590398726863 -6.4 -1.2 -1.2
2003-03-27 0.981636 0.971657 0.837590398726863 -3.5 -1.5 0.4
2003-03-28 0.980184 0.963023 0.837590398726863 -2.3 -2.5 -4.9
2003-03-29 0.985883 0.959512 0.837590398726863 -3.8 4 -5.1
2003-03-30 0.968324 0.939274 0.837590398726863 -2.2 3.4 -4.3
2003-03-31 0.858167 0.852874 0.837590398726863 -2.8 -0.5 -2
2004-03-01 0.427795 0.375254 0.837590398726863 -3.7 -4.9 -5
2004-03-02 0.996158 0.990381 0.837590398726863 -1.4 -4.8 -4.6
2004-03-03 0.677921 0.624279 0.837590398726863 -3.7 -1.3 -1.9
2004-03-04 0.947026 0.974795 0.837590398726863 -4.1 -1.4 -4.8
2004-03-05 0.679604 0.650559 0.837590398726863 -2.5 0.3 -4.4
2004-03-06 0.980502 0.975072 0.837590398726863 -1.4 1 -2.6
2004-03-07 0.983095 0.981927 0.837590398726863 -1.6 3.8 -4.6
2004-03-08 0.9801 0.973291 0.837590398726863 -1.1 4 -6.1
2004-03-09 0.983191 0.975373 0.837590398726863 -0.800001 4.2 -7.1
2004-03-10 0.975929 0.978074 0.837590398726863 1.4 2.1 -10.3
2004-03-11 0.963124 0.953336 0.837590398726863 -2.9 6.3 -5.9
2004-03-12 0.990049 0.973284 0.837590398726863 -3.2 2.7 -5.5
2004-03-13 0.971473 0.974548 0.837590398726863 -4.3 4.5 -5.8
2004-03-14 0.966978 0.950386 0.837590398726863 -3.6 2 -5.3
2004-03-15 0.973001 0.955668 0.837590398726863 -3 3.4 -3.9
2004-03-16 0.970943 0.954433 0.837590398726863 -2.1 4.8 -6.7
2004-03-17 0.972691 0.957667 0.837590398726863 -4.7 6.3 -5.8
2004-03-18 0.900526 0.907636 0.837590398726863 -3.2 4.2 -5.8
