d_date k1 k2 delta_z delta_max_at delta_min_at delta_dewp
2003-06-01 0.98371 0.978029 0.837590398726863 -8.1 -0.4 -3
2003-06-02 0.977165 0.970606 0.837590398726863 -5.1 0.7 -2.9
2003-06-03 0.977036 0.982816 0.837590398726863 -4.6 0 -3.3
2003-06-04 0.984646 0.97784 0.837590398726863 -3.3 4.2 0.4
2003-06-06 0.969668 0.980295 0.837590398726863 -1.6 2.1 0.900001
2003-06-07 0.978798 0.975551 0.837590398726863 -1.9 1.5 0.6
2003-06-08 0.983672 0.968331 0.837590398726863 -1 3.1 0.4
2003-06-09 0.976814 0.989088 0.837590398726863 -1.1 2 0.4
2003-06-10 0.980675 0.950506 0.837590398726863 -2.2 -4.3 -0.7
2003-06-11 0.973443 0.952226 0.837590398726863 -2.9 0.1 -0.3
2003-06-12 0.96903 0.750831 0.837590398726863 -2.7 -0.700001 -0.7
2003-06-13 0.978227 0.956085 0.837590398726863 -4.3 -1.2 -1
2003-06-14 0.957776 0.946511 0.837590398726863 -3.6 0.2 -2.1
2003-06-16 0.990372 0.965458 0.837590398726863 -5.1 0.8 -2.5
2003-06-18 0.771718 0.698885 0.837590398726863 -3 1 -0.9
2003-06-23 0.83054 0.961576 0.837590398726863 -6.6 -0.4 -2.5
2003-06-25 0.996971 0.995957 0.837590398726863 -5.1 -12.1 -6
2003-06-26 0.994239 0.998515 0.837590398726863 -3.3 2.2 -10.2
2003-06-27 0.914201 0.901085 0.837590398726863 -4.3 1.5 -8.2
2003-06-28 0.936033 0.903128 0.837590398726863 -3.6 0.799999 -6.4
2003-06-29 0.997882 0.988212 0.837590398726863 -5.1 1.5 -7.7
2003-06-30 0.971264 0.976619 0.837590398726863 -3.8 0.0999994 -7.8
2004-06-01 0.987492 0.978921 0.837590398726863 -5 0.8 -5.8
2004-06-02 0.98422 0.980163 0.837590398726863 -3.6 0.2 -5.9
2004-06-03 0.894484 0.909918 0.837590398726863 -1.5 3.7 -8.2
2004-06-04 0.916579 0.968272 0.837590398726863 -3 2.3 -6.1
2004-06-05 0.970868 0.957628 0.837590398726863 -4.2 1.8 -6.2
2004-06-06 0.99106 0.974089 0.837590398726863 -4.8 -1 -4.8
2004-06-07 0.979788 0.97405 0.837590398726863 -5.1 -3.8 -2.8
2004-06-08 0.920143 0.932897 0.837590398726863 -6.1 -2.9 -2.7
2004-06-09 0.811234 0.958893 0.837590398726863 -5.7 -11.7 -4.2
2004-06-10 0.967198 0.963268 0.837590398726863 -4.2 -4.1 -5
2004-06-11 0.9495 0.943646 0.837590398726863 -4 -1.1 -5.3
2004-06-12 0.985523 0.980378 0.837590398726863 -5.6 -0.400001 -5.5
2004-06-13 0.976706 0.974539 0.837590398726863 -5.2 -0.6 -4.6
2004-06-14 0.910495 0.891827 0.837590398726863 -4.3 1.5 -4.5
2004-06-15 0.938028 0.97867 0.837590398726863 -3 0.4 -5.1
2004-06-16 0.96778 0.951495 0.837590398726863 -4.5 1.9 -5.1
2004-06-17 0.979531 0.971527 0.837590398726863 -1.1 0.9 -2.2
2004-06-18 0.978394 0.974015 0.837590398726863 -2.6 2.5 -1.6
2004-06-19 0.975055 0.97844 0.837590398726863 -1.9 2 -3.2
2004-06-20 0.982128 0.973001 0.837590398726863 -2.6 1.6 -5
2004-06-21 0.979108 0.971205 0.837590398726863 -3.2 1.4 -3.6
2004-06-23 0.9768 0.976315 0.837590398726863 -1.7 3.2 -5.2
2004-06-24 0.957705 0.98589 0.837590398726863 -2.6 2.2 -5.2
2004-06-25 0.980527 0.982107 0.837590398726863 -2.8 2.6 -6.7
2004-06-26 0.974362 0.973221 0.837590398726863 -4.5 -0.8 -7
2004-06-27 0.952892 0.976149 0.837590398726863 -2.9 0.6 -7
2004-06-28 0.877129 0.948262 0.837590398726863 -2.3 0.1 -4.5
2004-06-29 0.88754 0.961613 0.837590398726863 -2.4 -0.4 -2.8
2004-06-30 0.938137 0.958065 0.837590398726863 -1.4 -1.5 -3.3
2005-06-01 0.978556 0.974982 0.837590398726863 -6.4 -0.2 2.3
2005-06-02 0.978926 0.973593 0.837590398726863 -6.2 -2.5 -2.7
2005-06-03 0.984166 0.970468 0.837590398726863 -6 1.6 -7.5
2005-06-04 0.96983 0.977718 0.837590398726863 -6.1 -1 -6.1
2005-06-05 0.949328 0.963002 0.837590398726863 -5.9 -5.1 -2.5
2005-06-06 0.916734 0.956418 0.837590398726863 -7.7 -2.6 -2.9
2005-06-07 0.955543 0.967939 0.837590398726863 -5.1 -2.8 -5.4
2005-06-08 0.253031 0.305664 0.837590398726863 -5.9 -5.1 -5.5
2005-06-09 0.69998 0.657831 0.837590398726863 -6.1 -15.2 -3.5
2005-06-10 0.961282 0.980173 0.837590398726863 -7.4 -3.5 -3.8
2005-06-11 0.971247 0.972566 0.837590398726863 -6.6 -1.8 -3.6
2005-06-12 0.985566 0.979062 0.837590398726863 -6.3 0 -1.7
2005-06-13 0.980987 0.970686 0.837590398726863 -5.6 1.3 -2.5
2005-06-14 0.971871 0.978808 0.837590398726863 -4.9 -1.3 -5.9
2005-06-15 0.974714 0.957898 0.837590398726863 -4.6 1.6 -5.4
2005-06-16 0.352182 0.285845 0.837590398726863 -1.8 -4.6 -9.2
2005-06-17 0.602547 0.706905 0.837590398726863 -6.4 -3.8 -4.5
2005-06-18 0.743822 0.79881 0.837590398726863 -5.4 -5.7 -4.2
2005-06-19 0.846843 0.973855 0.837590398726863 -5.6 -4 -3.8
2005-06-20 0.981361 0.976521 0.837590398726863 -4.5 -2.4 -3.7
2005-06-21 0.984894 0.959134 0.837590398726863 -6 -1.4 -1.9
2005-06-22 0.989813 0.984994 0.837590398726863 -5.1 0.5 -3.4
2005-06-23 0.976091 0.94362 0.837590398726863 -4.8 0.5 -4.6
2005-06-24 0.975188 0.967759 0.837590398726863 -2.3 0.299999 -3.1
2005-06-25 0.978104 0.965438 0.837590398726863 -3.4 -0.700001 -4.3
2005-06-26 0.977003 0.970498 0.837590398726863 -2.8 -0.1 -5.7
2005-06-27 0.984414 0.974159 0.837590398726863 -3.1 -1.4 -4.7
2005-06-28 0.98511 0.931443 0.837590398726863 -3.9 -1.1 -5.5
2005-06-29 0.985278 0.975287 0.837590398726863 -5.2 3.5 -4.7
2005-06-30 0.983576 0.975587 0.837590398726863 -4.4 -1.1 -4.5
2003-06-01 0.98371 0.971376 0.835151998730569 -6.4 -1.3 0.1
2003-06-02 0.977165 0.955083 0.835151998730569 -5.4 0.599999 0.2
2003-06-03 0.977036 0.968413 0.835151998730569 -4.9 0.699999 -0.4
2003-06-04 0.984646 0.976491 0.835151998730569 -2.9 4.4 2.7
2003-06-06 0.969668 0.964232 0.835151998730569 -1.6 2 3.1
2003-06-07 0.978798 0.971659 0.835151998730569 -1.5 1.9 2.9
2003-06-08 0.983672 0.971258 0.835151998730569 -0.200001 4 3.1
2003-06-09 0.976814 0.978035 0.835151998730569 -0.1 2.5 2.5
2003-06-10 0.980675 0.972866 0.835151998730569 -2.2 -5 1.3
2003-06-11 0.973443 0.96519 0.835151998730569 -1.9 -0.4 1.6
2003-06-12 0.96903 0.718658 0.835151998730569 -3.1 -0.1 1.1
2003-06-14 0.957776 0.952636 0.835151998730569 -5.5 -0.3 -0.0999994
2003-06-16 0.990372 0.97577 0.835151998730569 -6.7 -0.2 0.6
2003-06-18 0.771718 0.750464 0.835151998730569 -4.5 1.3 1.9
2003-06-23 0.83054 0.96995 0.835151998730569 -7.6 -1.1 -1.8
2003-06-25 0.996971 0.996348 0.835151998730569 -5.8 -14.3 -2.6
2003-06-26 0.994239 0.998517 0.835151998730569 -4.2 0.299999 -7.6
2003-06-27 0.914201 0.920783 0.835151998730569 -6.2 -0.700001 -4
2003-06-28 0.936033 0.928604 0.835151998730569 -5 -1.3 -1.5
2003-06-29 0.997882 0.985368 0.835151998730569 -6.4 1.3 -4.9
2003-06-30 0.971264 1 0.835151998730569 -5.7 0.2 -5
2004-06-01 0.987492 0.987014 0.835151998730569 -5.4 0.0999994 -1.8
2004-06-02 0.98422 0.984028 0.835151998730569 -4.8 0.299999 -2.4
2004-06-03 0.894484 0.930029 0.835151998730569 -2.4 3.4 -5.1
2004-06-04 0.916579 0.915299 0.835151998730569 -4.1 1.4 -3.5
2004-06-05 0.970868 0.96253 0.835151998730569 -5.5 0.6 -3.6
2004-06-06 0.99106 0.967651 0.835151998730569 -6.4 -2.4 -2
2004-06-07 0.979788 0.983755 0.835151998730569 -6 -3.4 -0.2
2004-06-08 0.920143 0.966046 0.835151998730569 -7.2 -4.4 -0.6
2004-06-09 0.811234 0.967625 0.835151998730569 -7.3 -12.3 -1.7
2004-06-10 0.967198 0.97072 0.835151998730569 -5.5 -4.6 -2.6
2004-06-11 0.9495 0.964051 0.835151998730569 -5.2 -1.8 -3
2004-06-12 0.985523 0.983963 0.835151998730569 -4.9 -1.4 -2.3
2004-06-13 0.976706 0.975506 0.835151998730569 -5 -1.5 -1.2
2004-06-14 0.910495 0.911856 0.835151998730569 -5.3 -0.400001 -0.3
2004-06-15 0.938028 0.977336 0.835151998730569 -4.2 -1 -0.7
2004-06-16 0.96778 0.940026 0.835151998730569 -4.7 2.5 -2.2
2004-06-17 0.979531 0.95181 0.835151998730569 -1.2 0.4 0.7
2004-06-18 0.978394 0.965745 0.835151998730569 -3.3 2.2 1.5
2004-06-19 0.975055 0.983917 0.835151998730569 -2.3 1.7 -0.8
2004-06-20 0.982128 0.973575 0.835151998730569 -3.8 1.9 -2
2004-06-21 0.979108 0.972649 0.835151998730569 -4.6 1 -0.3
2004-06-22 0.965661 0.967293 0.835151998730569 -1.3 3.2 0.400001
2004-06-23 0.9768 0.980983 0.835151998730569 -3.2 2.9 -1.8
2004-06-24 0.957705 0.966889 0.835151998730569 -4 2.6 -2.1
2004-06-25 0.980527 0.965769 0.835151998730569 -4.9 0.5 -3
2004-06-26 0.974362 0.981761 0.835151998730569 -5.8 -2.1 -3.9
2004-06-27 0.952892 0.979975 0.835151998730569 -4.9 -0.5 -3
2004-06-28 0.877129 0.963663 0.835151998730569 -3.1 -0.6 -0.1
2004-06-29 0.88754 0.971258 0.835151998730569 -2.7 -0.7 0.5
2004-06-30 0.938137 0.974794 0.835151998730569 -1.7 -1.2 -0.2
2005-06-01 0.978556 0.98104 0.835151998730569 -5.4 -5.1 2.5
2005-06-02 0.978926 0.983263 0.835151998730569 -5.7 -6.1 -1
